Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C4",0805,3,10u,C15850
"C10, C8",0402,2,1u,C52923
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,C307331
"C2, C3",0402,2,15p,C1548
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified,1,USB_B_Micro,C428495
"R1, R5",0402,2,1k,C11702
"R3, R4",0402,2,27,C274349
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
