Designator,Mid X,Mid Y,Rotation,Layer
C1,7.9375,23.5,0.0,top
C10,4.0,6.485,90.0,top
C11,-6.485,3.0,180.0,top
C12,6.485,-1.2,0.0,top
C13,-6.485,-1.2,180.0,top
C14,0.381,-6.485,270.0,top
C15,6.485,4.0,0.0,top
C16,6.485,5.4,0.0,top
C17,-14.885,22.0,0.0,top
C2,-1.3,-9.5,180.0,top
C3,1.3,-9.5,0.0,top
C4,9.025,11.0,0.0,top
C5,-3.815,17.17,180.0,top
C6,-1.0,7.485,90.0,top
C7,1.5,-6.485,270.0,top
C8,3.0,6.485,90.0,top
C9,0.0,7.485,90.0,top
J1,0.0,28.3,180.0,top
R1,-9.0,17.685,90.0,top
R3,1.0,6.485,270.0,top
R4,2.0,6.485,270.0,top
R5,-0.7,-6.5,270.0,top
U1,8.0,17.15,90.0,top
U2,-6.95,12.725,270.0,top
U3,0.0,0.0,0.0,top
Y1,0.0,-12.3,0.0,top
